id,full_name,country,email,gender,dob,blood_group,state
1701CB08,Ivette Brando,Finland,ibrando6@cafepress.com,Female,06-08-2002,O-,Manipur
1701CE21,Berri Pepperill,Finland,bpepperill15@cloudflare.com,Female,30-10-1999,AB+,Puducherry
1701CS08,Oswald Madge,Finland,omadge1h@imageshack.us,Male,19-06-2009,A+,Maharashtra
1701EE20,Sidney Giacopini,Finland,sgiacopini3f@wikia.com,Male,15-06-2003,B+,Puducherry
1701ME27,Micheil Huot,Finland,mhuot4y@google.pl,Male,18-10-2016,O+,Bihar
1801EE26,Dulcy Lampkin,Finland,dlampkincz@wsj.com,Female,16-07-2000,AB+,Assam
1811CS01,Berkly Gashion,Finland,bgashionfq@123-reg.co.uk,Male,09-06-2001,B+,West Bengal
1821CE05,Perle Fennick,Finland,pfennickiz@cyberchimps.com,Female,22-09-2007,O-,Sikkim
1901CE49,Roxy MacGiolla Pheadair,Finland,rmacgiollanv@google.co.jp,Female,29-05-2017,A-,Puducherry
1901CS13,Delia Wallworth,Finland,dwallworthof@ebay.com,Female,17-11-2018,O-,Chandigarh
1901EE28,Berkeley Waleworke,Finland,bwaleworkeqx@bing.com,Male,01-10-2006,AB+,Manipur
