id,full_name,country,email,gender,dob,blood_group,state
1701EE34,Aldon Freestone,Greece,afreestone3q@oakley.com,Male,08-06-2000,O+,Daman and Diu
1701ME20,Giordano Chasmoor,Greece,gchasmoor4s@samsung.com,Male,11-04-2002,O-,Andhra Pradesh
1711MS09,Pansie Jacquest,Greece,pjacquest6s@ow.ly,Female,12-09-2003,O-,Maharashtra
1711MT14,Eddy Cromwell,Greece,ecromwell73@last.fm,Male,25-08-2014,AB+,Tripura
1711NT05,Merwin Cotillard,Greece,mcotillard78@imdb.com,Male,08-12-2011,B+,Tamil Nadu
1721CS02,Kennett Dabes,Greece,kdabes7k@google.fr,Male,29-03-2000,A+,Chhattisgarh
1721MA04,Filmore Tissier,Greece,ftissier8b@abc.net.au,Male,21-11-2012,O+,Nagaland
1801CE24,Jason Slora,Greece,jsloraa7@salon.com,Male,23-12-2010,AB-,Maharashtra
1821HS08,Ramonda Kiledal,Greece,rkiledalkc@spiegel.de,Female,25-08-2015,AB+,Bihar
1821MS02,Alberto Patching,Greece,apatchingku@guardian.co.uk,Male,19-08-2012,A+,Odisha
1901CE29,Joshuah Blakesley,Greece,jblakesleyng@wordpress.org,Male,22-01-2007,AB-,Goa
