id,full_name,country,email,gender,dob,blood_group,state
1701CB06,Rube Varker,Russia,rvarker4@macromedia.com,Male,27-02-2000,AB-,Manipur
1701CB16,Kliment Jentle,Russia,kjentlec@behance.net,Male,12-08-2005,A+,Meghalaya
1701CE08,Prince Thurstance,Russia,pthurstanceu@printfriendly.com,Male,22-02-2001,AB-,Lakshadweep
1701CE18,Bernarr Brade,Russia,bbrade12@friendfeed.com,Male,11-08-2011,A+,Chhattisgarh
1701CS12,Myrah Cusick,Russia,mcusick1l@amazon.co.jp,Female,30-07-2009,AB-,Daman and Diu
1701CS15,Dolli Clericoates,Russia,dclericoates1o@desdev.cn,Female,29-07-2013,O-,Jammu and Kashmir
1701CS29,Shawnee Buchan,Russia,sbuchan22@netscape.com,Female,07-10-2002,A-,Madhya Pradesh
1701CS42,Putnam Honig,Russia,phonig2f@biblegateway.com,Male,11-09-2010,O-,Daman and Diu
1701CS54,Krishnah Cornbill,Russia,kcornbill2r@hostgator.com,Male,06-12-2000,A-,Manipur
1701CS58,Adora Dallin,Russia,adallin2v@deviantart.com,Female,19-01-2001,O+,Manipur
1701CS60,Viva Moff,Russia,vmoff2x@simplemachines.org,Female,17-02-2006,AB+,Haryana
1701EE04,Mia Novic,Russia,mnovic31@auda.org.au,Female,14-12-2008,B+,Chandigarh
1701EE43,Gibb Skellington,Russia,gskellington3z@naver.com,Male,26-10-2006,AB-,Karnataka
1701ME49,Shaw Restill,Russia,srestill5e@examiner.com,Male,27-01-2015,A+,Rajasthan
1711EE11,Jared Strettle,Russia,jstrettle63@sphinn.com,Male,04-06-2001,A-,Goa
1711EE17,Henrietta Nolin,Russia,hnolin66@yale.edu,Female,18-07-2000,O-,Andhra Pradesh
1711MC08,Tilda Murty,Russia,tmurty6c@craigslist.org,Female,15-06-2008,B+,Kerala
1711MC10,Fey Buckhurst,Russia,fbuckhurst6d@topsy.com,Female,30-12-2016,A-,Daman and Diu
