id,full_name,country,email,gender,dob,blood_group,state
1701CS09,Mireille Sessions,Sweden,msessions1i@amazon.com,Female,06-11-2017,A-,Jammu and Kashmir
1701EE21,Lynne Adlem,Sweden,ladlem3g@cnn.com,Female,27-08-2014,AB+,Sikkim
1701EE41,Miguelita Weild,Sweden,mweild3x@unesco.org,Female,16-11-2007,AB-,Arunachal Pradesh
1701ME30,Tammie Daspar,Sweden,tdaspar51@boston.com,Female,30-09-2009,O-,Delhi
1711MT07,Audrye Giovani,Sweden,agiovani6y@free.fr,Female,04-10-2000,A-,Assam
1721CS04,Josephine Kubelka,Sweden,jkubelka7m@parallels.com,Female,30-08-2014,A-,Uttar Pradesh
1721ME05,Teodor Mangion,Sweden,tmangion8g@ucoz.ru,Male,18-01-2000,A+,Uttar Pradesh
1801CB15,Alfonse Tacker,Sweden,atacker9a@joomla.org,Male,03-04-2020,AB+,West Bengal
1801CE10,Earle Huxster,Sweden,ehuxster9x@bigcartel.com,Male,20-12-2003,O-,Chandigarh
1801CE28,Doralynne Fogel,Sweden,dfogelab@whitehouse.gov,Female,10-12-2003,B-,Chhattisgarh
1801CS06,Delphine Skerrett,Sweden,dskerrettal@indiegogo.com,Female,31-10-2015,A-,Andhra Pradesh
1801CS09,Nev Ayrs,Sweden,nayrsao@newyorker.com,Male,23-01-2007,B+,Daman and Diu
1801CS58,Merissa Corsar,Sweden,mcorsarc1@google.com.au,Female,26-03-2014,AB+,Himachal Pradesh
1801CS65,Sharai Tomasino,Sweden,stomasinoc8@guardian.co.uk,Female,29-02-2020,A-,Rajasthan
1801EE10,Phillis Silverson,Sweden,psilversoncl@hostgator.com,Female,05-06-2008,A+,Telangana
1811MC07,Berta Edgin,Sweden,bedgingv@fotki.com,Female,06-10-2012,A-,Tamil Nadu
1811MS06,Philis Huskisson,Sweden,phuskissonhe@yandex.ru,Female,21-11-2008,O+,Odisha
1811NT08,Isidora Ratazzi,Sweden,iratazzii1@europa.eu,Female,29-09-2000,A-,Goa
1812CH07,Bevin Fynn,Sweden,bfynni8@linkedin.com,Male,28-03-2003,AB-,Jharkhand
1821EE13,Bern Morando,Sweden,bmorandok5@theatlantic.com,Male,12-11-2013,B-,Himachal Pradesh
1901CB33,Sibyl Taaffe,Sweden,staaffem3@dagondesign.com,Male,13-04-2012,B-,Lakshadweep
1901EE16,Libbie Bockh,Sweden,lbockhql@webmd.com,Female,15-04-2002,A-,Himachal Pradesh
1901EE32,Pepillo Meininking,Sweden,pmeininkingr1@weibo.com,Male,29-07-2014,B+,Puducherry
