id,full_name,country,email,gender,dob,blood_group,state
1701CS38,Raul Snufflebottom,Ukraine,rsnufflebottom2b@comsenz.com,Male,23-04-2015,O+,Himachal Pradesh
1711CS13,Gwenny Oiller,Ukraine,goiller5w@lulu.com,Female,28-07-2007,B+,Jharkhand
1721CS07,Dorothee Mougeot,Ukraine,dmougeot7o@gnu.org,Female,24-04-2009,A-,Mizoram
1801CS19,Elisa Corzor,Ukraine,ecorzoray@bing.com,Female,25-03-1999,B+,Mizoram
1801CS50,Cross Whyffen,Ukraine,cwhyffenbt@yale.edu,Male,07-09-2014,AB-,Chhattisgarh
1801EE65,Latrena Casone,Ukraine,lcasonedv@globo.com,Female,19-05-2017,O-,Kerala
1801ME04,Gerome Haffard,Ukraine,ghaffarde2@shinystat.com,Male,09-06-2013,A-,Arunachal Pradesh
1801ME28,Angelita Dismore,Ukraine,adismoreeo@upenn.edu,Female,17-03-2010,AB-,Madhya Pradesh
1801ME30,Kessiah Cuckson,Ukraine,kcucksonep@webmd.com,Female,20-10-2010,AB+,Jammu and Kashmir
1811EE16,Geneva Kehri,Ukraine,gkehrigj@berkeley.edu,Female,17-05-1999,AB+,Meghalaya
1821CS13,Aura Hockey,Ukraine,ahockeyjp@wp.com,Female,29-05-2020,AB-,Sikkim
1821EE17,Alexandros Stokey,Ukraine,astokeyk7@dropbox.com,Male,02-05-2001,O-,Uttar Pradesh
1821ME12,Lacie Hagan,Ukraine,lhaganko@usda.gov,Female,08-09-2014,B-,Lakshadweep
1901CB20,Tove Grigorian,Ukraine,tgrigorianlu@dagondesign.com,Female,18-02-2008,A-,Manipur
1901CE53,Loreen Lindop,Ukraine,llindopnz@webnode.com,Female,01-12-1999,AB-,Tamil Nadu
1901CS01,Ivette Doring,Ukraine,idoringo3@independent.co.uk,Female,17-06-2011,A-,Goa
1901CS65,Marion Boggs,Ukraine,mboggspr@163.com,Male,13-03-2005,O+,Jharkhand
1901EE09,Warden Courteney,Ukraine,wcourteneyqe@cdbaby.com,Male,05-01-2011,B+,Jammu and Kashmir
1901EE54,Tabby Jonsson,Ukraine,tjonssonrm@t-online.de,Female,11-12-1999,AB-,Tripura
