id,full_name,country,email,gender,dob,blood_group,state
1812CH01,Chico Twittey,Russia,ctwitteyi4@chicagotribune.com,Male,19-01-2011,A+,Jammu and Kashmir
1812CH04,Morganica Carville,India,mcarvillei5@jimdo.com,Female,01-02-2016,B+,Andhra Pradesh
1812CH05,Kaleena Oldridge,India,koldridgei6@hhs.gov,Female,19-09-2005,O+,West Bengal
1812CH06,Merry Sheivels,India,msheivelsi7@t.co,Male,22-03-2003,A+,Maharashtra
1812CH07,Bevin Fynn,Sweden,bfynni8@linkedin.com,Male,28-03-2003,AB-,Jharkhand
1812CH09,Jerrie Van der Daal,Malaysia,jvani9@cisco.com,Male,30-06-2018,O+,Haryana
1812CH10,Clarita Szach,India,cszachia@jimdo.com,Female,05-03-2011,B-,Manipur
1812CH11,Currie Voysey,Russia,cvoyseyib@netscape.com,Male,11-02-2005,O+,Nagaland
1812CH13,Morse Fehners,United States,mfehnersic@nasa.gov,Male,13-06-2006,O+,Sikkim
1812CH14,Gaven Cudiff,Japan,gcudiffid@webeden.co.uk,Male,03-04-1999,AB+,Goa
