id,full_name,country,email,gender,dob,blood_group,state
1821CS01,Torrie Machans,India,tmachansjg@wix.com,Female,01-04-2002,AB+,Sikkim
1821CS03,Bev Posthill,Russia,bposthilljh@mashable.com,Female,05-02-2001,A-,Chhattisgarh
1821CS05,Geoff Blandamere,Russia,gblandamereji@tinyurl.com,Male,05-10-2018,O-,Assam
1821CS06,Duffy Frickey,Australia,dfrickeyjj@jimdo.com,Male,11-04-2015,B-,Lakshadweep
1821CS07,Colly Sangar,Vietnam,csangarjk@booking.com,Female,28-04-2004,AB+,Mizoram
1821CS08,Kean Robak,Poland,krobakjl@networkadvertising.org,Male,12-10-2000,AB-,Uttarakhand
1821CS10,Janel Faust,Indonesia,jfaustjm@pen.io,Female,22-07-2007,O-,Andaman and Nicobar Islands
1821CS11,Kat Sturmey,India,ksturmeyjn@noaa.gov,Female,10-12-2003,AB-,Punjab
1821CS12,Vidovic Mumbey,India,vmumbeyjo@studiopress.com,Male,24-05-2009,O-,Arunachal Pradesh
1821CS13,Aura Hockey,Ukraine,ahockeyjp@wp.com,Female,29-05-2020,AB-,Sikkim
1821CS14,Lethia Romaines,Cameroon,lromainesjq@unc.edu,Female,22-05-1999,B+,Daman and Diu
1821CS15,Cristobal Cheltnam,Philippines,ccheltnamjr@adobe.com,Male,20-05-2002,AB+,Uttar Pradesh
1821CS16,Lisette Vassar,United States,lvassarjs@odnoklassniki.ru,Female,30-05-2014,AB+,Manipur
1821CS17,Albie Wakerley,Indonesia,awakerleyjt@harvard.edu,Male,31-03-2012,O-,Uttarakhand
1821CS18,Daryn Taye,Peru,dtayeju@dyndns.org,Female,20-01-2020,A+,Goa
