id,full_name,country,email,gender,dob,blood_group,state
1811NT01,Myrvyn Smartman,France,msmartmanhu@google.com,Male,29-06-2002,O+,Odisha
1811NT02,Erich Briatt,Albania,ebriatthv@typepad.com,Male,16-04-2019,A+,Bihar
1811NT03,Wolfie Shapter,France,wshapterhw@exblog.jp,Male,23-04-2016,O-,Haryana
1811NT04,Vi Bridgnell,Niger,vbridgnellhx@webs.com,Female,28-06-2011,A-,Meghalaya
1811NT05,Teddy Chippindale,Philippines,tchippindalehy@mozilla.com,Male,17-10-2010,O+,Haryana
1811NT06,Bill Eagland,India,beaglandhz@sourceforge.net,Male,07-05-2005,AB-,Punjab
1811NT07,Gay Rewbottom,Brazil,grewbottomi0@cafepress.com,Male,23-06-2009,O-,Kerala
1811NT08,Isidora Ratazzi,Sweden,iratazzii1@europa.eu,Female,29-09-2000,A-,Goa
1811NT09,Eloise Merner,Colombia,emerneri2@unblog.fr,Female,26-11-2011,B+,Delhi
1811NT11,Lee Gaveltone,Japan,lgaveltonei3@google.co.uk,Female,19-08-2006,A-,West Bengal
