id,full_name,country,email,gender,dob,blood_group,state
1701EE36,Rhoda Hutchason,Poland,rhutchason3s@ox.ac.uk,Female,16-06-2007,AB-,Assam
1701EE60,Chickie Lacroutz,Poland,clacroutz4d@freewebs.com,Female,14-05-2008,A+,Assam
1711ME09,Angeline Lade,Uzbekistan,alade6l@pbs.org,Female,17-09-2012,O+,Assam
1711MT07,Audrye Giovani,Sweden,agiovani6y@free.fr,Female,04-10-2000,A-,Assam
1801CB03,Kakalina Woonton,Thailand,kwoonton91@home.pl,Female,31-10-1998,B-,Assam
1801CS05,Joey Nitti,Peru,jnittiak@fc2.com,Female,18-04-2014,B+,Assam
1801CS28,Ruperto Mallinar,Russia,rmallinarb7@google.com.hk,Male,27-03-2000,O+,Assam
1801CS55,Pammi Doddrell,Netherlands,pdoddrellby@histats.com,Female,24-09-2015,AB-,Assam
1801EE26,Dulcy Lampkin,Finland,dlampkincz@wsj.com,Female,16-07-2000,AB+,Assam
1801EE58,Darda Wynch,India,dwynchdq@nsw.gov.au,Female,31-08-2007,B+,Assam
1801EE63,Ignacio Bukowski,France,ibukowskidt@miitbeian.gov.cn,Male,12-03-2009,AB+,Assam
1801ME05,Natalina MacScherie,India,nmacscheriee3@list-manage.com,Female,13-09-2005,A-,Assam
1811MC10,Micki Greatbank,Philippines,mgreatbankgx@mapy.cz,Female,21-01-2000,A+,Assam
1821CS05,Geoff Blandamere,Russia,gblandamereji@tinyurl.com,Male,05-10-2018,O-,Assam
1821ME06,Ransom Voak,Argentina,rvoakkl@columbia.edu,Male,18-05-2004,AB+,Assam
1901CS40,Elias Ullyott,India,eullyottp5@hibu.com,Male,25-06-2018,B-,Assam
