id,full_name,country,email,gender,dob,blood_group,state
1701CE04,Saunder Hulatt,Philippines,shulattq@lulu.com,Male,30-03-2004,O-,Nagaland
1701CE17,Raine Blackleech,Czech Republic,rblackleech11@webmd.com,Female,10-09-1999,A-,Nagaland
1701CS01,Ezri Pumfrey,Mexico,epumfrey1a@prnewswire.com,Male,20-09-2005,AB+,Nagaland
1701EE33,Lowe Atchly,Yemen,latchly3p@wikipedia.org,Male,11-11-2007,O-,Nagaland
1701ME57,Jamesy Steabler,India,jsteabler5j@oracle.com,Male,11-04-2012,O+,Nagaland
1711EE05,Adolphe Jaimez,India,ajaimez61@skyrock.com,Male,08-02-2004,AB+,Nagaland
1721EE12,Dayna Lillicrap,Andorra,dlillicrap81@i2i.jp,Female,21-08-2001,B+,Nagaland
1721MA04,Filmore Tissier,Greece,ftissier8b@abc.net.au,Male,21-11-2012,O+,Nagaland
1801CS27,Claresta Hun,Sri Lanka,chunb6@wordpress.org,Female,02-02-2012,O+,Nagaland
1801CS43,Sarena Sycamore,Mexico,ssycamorebm@nsw.gov.au,Female,31-03-2007,O+,Nagaland
1801CS44,Devy Haggidon,Mexico,dhaggidonbn@angelfire.com,Male,18-02-2008,B+,Nagaland
1801CS48,Karola Boriston,Indonesia,kboristonbr@soup.io,Female,23-12-2008,O-,Nagaland
1801EE19,Waite Aishford,Ivory Coast,waishfordcs@webs.com,Male,21-11-2003,O+,Nagaland
1801EE48,Kalinda Spurnier,Armenia,kspurnierdh@people.com.cn,Female,14-08-2012,A-,Nagaland
1811CS15,Aila Carl,Canada,acarlg3@pinterest.com,Female,29-07-2011,B-,Nagaland
1811ME08,Winn Secker,Russia,wseckerh5@vkontakte.ru,Male,15-01-2003,AB+,Nagaland
1811MS0810,Doria Janicek,Estonia,djanicekhh@jigsy.com,Female,25-05-2001,B+,Nagaland
1812CH11,Currie Voysey,Russia,cvoyseyib@netscape.com,Male,11-02-2005,O+,Nagaland
1812PH05,Douglass Priestner,Thailand,dpriestneris@i2i.jp,Male,26-11-2007,O+,Nagaland
1901CB46,Red Dalla,India,rdallamd@last.fm,Male,08-08-2010,O+,Nagaland
1901CS18,Lucille Blanko,Indonesia,lblankook@google.com.au,Female,18-02-2003,AB+,Nagaland
1901EE20,Marci Lujan,Philippines,mlujanqp@eepurl.com,Female,06-11-2016,AB+,Nagaland
