id,full_name,country,email,gender,dob,blood_group,state
1701CS52,Naoma Cosgrave,India,ncosgrave2p@arstechnica.com,Female,29-10-2019,A-,West Bengal
1701EE35,Franklin Rops,India,frops3r@bbb.org,Male,18-11-2000,O+,West Bengal
1701ME12,Kylie Bulter,United Arab Emirates,kbulter4o@uol.com.br,Male,24-11-2002,A-,West Bengal
1721CS03,Sanson Stitch,Thailand,sstitch7l@who.int,Male,01-08-2005,AB-,West Bengal
1721MA09,Piotr Gannicleff,Tonga,pgannicleff8c@networksolutions.com,Male,06-05-2019,A-,West Bengal
1721PH05,Jasun Stanfield,India,jstanfield8p@e-recht24.de,Male,14-11-2016,A-,West Bengal
1801CB15,Alfonse Tacker,Sweden,atacker9a@joomla.org,Male,03-04-2020,AB+,West Bengal
1801CB24,Mannie Pittford,India,mpittford9j@wikia.com,Male,04-10-2014,O-,West Bengal
1801EE15,Euphemia Deinert,Russia,edeinertcp@geocities.jp,Female,04-06-2005,AB-,West Bengal
1801EE23,Kelley Attewill,India,kattewillcw@homestead.com,Female,07-05-2003,O+,West Bengal
1801ME57,Bernete Eidler,Indonesia,beidlerf9@a8.net,Female,17-03-2007,O-,West Bengal
1801ME62,Clementina Locker,India,clockerfe@so-net.ne.jp,Female,12-10-2002,O-,West Bengal
1811CS01,Berkly Gashion,Finland,bgashionfq@123-reg.co.uk,Male,09-06-2001,B+,West Bengal
1811CS09,Paten Scheu,Philippines,pscheufx@bandcamp.com,Male,14-10-2000,O-,West Bengal
1811NT11,Lee Gaveltone,Japan,lgaveltonei3@google.co.uk,Female,19-08-2006,A-,West Bengal
1812CH05,Kaleena Oldridge,India,koldridgei6@hhs.gov,Female,19-09-2005,O+,West Bengal
1812PH07,Thebault Wathell,Russia,twathellit@cbc.ca,Male,24-12-2002,AB+,West Bengal
1821MA09,Markos Tschursch,Honduras,mtschurschki@ihg.com,Male,02-03-2007,O-,West Bengal
1901CE19,Dara Garfit,Japan,dgarfitn6@squidoo.com,Female,23-12-2013,A-,West Bengal
1901CE37,Myrlene Thiem,Nigeria,mthiemnm@edublogs.org,Female,30-07-2020,B+,West Bengal
1901EE12,Monah Osipov,Palestinian Territory,mosipovqh@typepad.com,Female,28-05-2020,B-,West Bengal
1901EE22,Ileane Pridgeon,Angola,ipridgeonqr@biblegateway.com,Female,22-08-2018,B-,West Bengal
