id,full_name,country,email,gender,dob,blood_group,state
1701CB01,Gery Pfeiffer,Argentina,gpfeiffer1@amazonaws.com,Male,09-10-2001,A+,Telangana
1701CB15,Binny Forsyde,Argentina,bforsydeb@plala.or.jp,Female,28-12-2002,AB-,Arunachal Pradesh
1701CB26,Hallie Marten,Argentina,hmartenl@ehow.com,Female,04-06-2010,AB-,Karnataka
1701CS04,Talya Peret,Argentina,tperet1d@themeforest.net,Female,04-02-2005,A+,Punjab
1811CS14,Ettore Megarry,Argentina,emegarryg2@washington.edu,Male,23-10-2012,B-,Kerala
1811MS08,Addi Caw,Argentina,acawhg@tinypic.com,Female,09-03-2007,O+,Uttarakhand
1811MT09,Isidro Greenalf,Argentina,igreenalfhp@hp.com,Male,02-12-2000,AB-,Andhra Pradesh
1821EE08,Josy Bolte,Argentina,jboltek0@timesonline.co.uk,Female,27-01-2019,A-,Andaman and Nicobar Islands
1821ME06,Ransom Voak,Argentina,rvoakkl@columbia.edu,Male,18-05-2004,AB+,Assam
1901CB06,Alberto Freeburn,Argentina,afreeburnli@live.com,Male,16-12-2007,O-,Jammu and Kashmir
1901CB40,Dominic Baildon,Argentina,dbaildonm9@seattletimes.com,Male,21-12-1998,A+,Daman and Diu
1901EE06,Carlee Bradburne,Argentina,cbradburneqb@washingtonpost.com,Female,29-10-2016,O-,Telangana
