id,full_name,country,email,gender,dob,blood_group,state
1701CB18,Randall Baggot,Mexico,rbaggote@vinaora.com,Male,19-07-2011,O-,Himachal Pradesh
1701CS01,Ezri Pumfrey,Mexico,epumfrey1a@prnewswire.com,Male,20-09-2005,AB+,Nagaland
1701ME13,Terrence Lahrs,Mexico,tlahrs4p@examiner.com,Male,17-10-2009,O+,Uttarakhand
1721CS05,Zenia Flello,Mexico,zflello7n@drupal.org,Female,20-09-2013,O-,Kerala
1801CS43,Sarena Sycamore,Mexico,ssycamorebm@nsw.gov.au,Female,31-03-2007,O+,Nagaland
1801CS44,Devy Haggidon,Mexico,dhaggidonbn@angelfire.com,Male,18-02-2008,B+,Nagaland
1801CS67,Shurlock Richemont,Mexico,srichemontca@simplemachines.org,Male,08-11-2001,AB+,Kerala
1801EE01,Rafferty Pridham,Mexico,rpridhamcd@ucla.edu,Male,04-07-2019,B-,Punjab
1801ME35,Darice Burne,Mexico,dburnees@tinypic.com,Female,30-12-2014,O-,Mizoram
1811CS17,Aurthur Brokenbrow,Mexico,abrokenbrowg5@go.com,Male,16-07-2004,A-,Puducherry
18PS27,Artie Huet,Mexico,ahuetla@feedburner.com,Male,09-12-2012,B+,Daman and Diu
1901CE05,Clyde Stonhewer,Mexico,cstonhewerms@sourceforge.net,Male,09-02-2005,O-,Haryana
