id,full_name,country,email,gender,dob,blood_group,state
1701CE16,Gladys Emerine,Peru,gemerine10@cdc.gov,Female,22-07-2012,A-,Madhya Pradesh
1701CS26,Leslie Bernet,Peru,lbernet1z@mysql.com,Male,20-08-2018,AB-,Uttar Pradesh
1701CS45,Anson Jobson,Peru,ajobson2i@over-blog.com,Male,25-11-2014,AB-,Bihar
1721CE07,Milt O'Keeffe,Peru,mokeeffe7g@163.com,Male,30-05-2007,AB-,Tamil Nadu
1721EE06,Vail Dionsetti,Peru,vdionsetti7x@rambler.ru,Male,15-06-2010,AB+,Telangana
1801CB12,Bartholomeus Abrashkov,Peru,babrashkov98@wp.com,Male,12-02-2017,A+,Jammu and Kashmir
1801CS05,Joey Nitti,Peru,jnittiak@fc2.com,Female,18-04-2014,B+,Assam
1801CS11,Maurie Nesbitt,Peru,mnesbittaq@discuz.net,Male,20-07-2004,O-,Himachal Pradesh
1801EE64,Odette MacShirrie,Peru,omacshirriedu@tinyurl.com,Female,16-06-2006,O+,Tripura
1811CS02,Beret Sivyer,Peru,bsivyerfr@nsw.gov.au,Female,12-06-2011,O-,Andaman and Nicobar Islands
1811MC05,Chet Frost,Peru,cfrostgt@apache.org,Male,24-06-2005,O+,Delhi
1821CS18,Daryn Taye,Peru,dtayeju@dyndns.org,Female,20-01-2020,A+,Goa
1901CB36,Tynan Jobke,Peru,tjobkem6@list-manage.com,Male,10-10-2004,O-,Andaman and Nicobar Islands
1901CE56,Letitia Turgoose,Peru,lturgooseo2@sohu.com,Female,13-09-2011,AB-,Lakshadweep
1901CS06,Obie Horbart,Peru,ohorbarto8@mtv.com,Male,21-06-2004,O-,Tamil Nadu
1901EE24,Nesta Bitcheno,Peru,nbitchenoqt@wsj.com,Female,05-02-2012,B-,Gujarat
