id,full_name,country,email,gender,dob,blood_group,state
1701CB01,Gery Pfeiffer,Argentina,gpfeiffer1@amazonaws.com,Male,09-10-2001,A+,Telangana
1701CB04,Shannan Downey,Indonesia,sdowney2@wikispaces.com,Male,30-09-2008,AB+,Telangana
1701CB05,Marielle Matiewe,Philippines,mmatiewe3@e-recht24.de,Female,30-08-2004,A-,Arunachal Pradesh
1701CB06,Rube Varker,Russia,rvarker4@macromedia.com,Male,27-02-2000,AB-,Manipur
1701CB07,Emilio Tallant,India,etallant5@aol.com,Male,25-08-2017,A-,Delhi
1701CB08,Ivette Brando,Finland,ibrando6@cafepress.com,Female,06-08-2002,O-,Manipur
1701CB10,Felix Rodger,Indonesia,frodger7@msn.com,Male,04-07-2010,AB+,Sikkim
1701CB11,Nalani Fassan,Portugal,nfassan8@oracle.com,Female,31-10-2014,B+,Haryana
1701CB12,Raoul Apedaile,Indonesia,rapedaile9@discovery.com,Male,11-08-2006,AB-,Telangana
1701CB14,Todd Dibson,India,tdibsona@statcounter.com,Male,03-06-2013,B-,Madhya Pradesh
1701CB15,Binny Forsyde,Argentina,bforsydeb@plala.or.jp,Female,28-12-2002,AB-,Arunachal Pradesh
1701CB16,Kliment Jentle,Russia,kjentlec@behance.net,Male,12-08-2005,A+,Meghalaya
1701CB17,Donella Danniell,India,ddannielld@blogspot.com,Female,17-02-2017,AB-,Odisha
1701CB18,Randall Baggot,Mexico,rbaggote@vinaora.com,Male,19-07-2011,O-,Himachal Pradesh
1701CB19,Codee O'Doohaine,Colombia,codoohainef@gizmodo.com,Female,18-01-2002,B-,Manipur
1701CB20,Catriona Usmar,India,cusmarg@hatena.ne.jp,Female,21-08-2016,A-,Odisha
1701CB21,Kristal MacDonagh,Thailand,kmacdonaghh@4shared.com,Female,24-01-2005,B+,Andhra Pradesh
1701CB22,Bink Hacon,Bolivia,bhaconi@ucoz.ru,Male,14-04-2011,A-,Karnataka
1701CB23,Norah Baradel,Indonesia,nbaradelj@europa.eu,Female,21-03-2016,AB-,Maharashtra
1701CB25,Korrie Craddock,Indonesia,kcraddockk@ning.com,Female,19-02-2003,O-,Dadra and Nagar Haveli
1701CB26,Hallie Marten,Argentina,hmartenl@ehow.com,Female,04-06-2010,AB-,Karnataka
1701CB27,Onfre Bortolozzi,India,obortolozzim@parallels.com,Male,02-08-2003,O+,Sikkim
