id,full_name,country,email,gender,dob,blood_group,state
1821CH01,Kacie Kolakovic,Philippines,kkolakovicj4@sakura.ne.jp,Female,02-03-2013,A-,Dadra and Nagar Haveli
1821CH03,Hyacinthe Tringham,United States,htringhamj5@youku.com,Female,11-05-2005,A-,Mizoram
1821CH04,Ingaberg Crowdson,Poland,icrowdsonj6@nsw.gov.au,Female,16-02-2020,AB-,Chandigarh
1821CH05,Eberto Lucia,India,eluciaj7@indiatimes.com,Male,28-10-2017,O+,Delhi
1821CH06,Adriano Brambell,India,abrambellj8@apple.com,Male,05-09-2020,AB-,Rajasthan
1821CH07,Anthea Sciusscietto,India,asciussciettoj9@pagesperso-orange.fr,Female,05-05-2005,A+,Haryana
1821CH08,Edwin Wonfor,Indonesia,ewonforja@google.com.au,Male,04-10-2005,AB-,Delhi
1821CH09,Benji Pregel,Pakistan,bpregeljb@kickstarter.com,Male,05-06-2003,O-,Telangana
1821CH12,Archibaldo Maud,Malaysia,amaudjc@nbcnews.com,Male,22-01-2013,AB-,Jammu and Kashmir
1821CH13,West Aers,South Africa,waersjd@go.com,Male,25-03-2013,B+,Daman and Diu
1821CH14,Eward Selwyne,Russia,eselwyneje@unicef.org,Male,29-10-2016,A+,Odisha
1821CH15,Farly Tabram,Indonesia,ftabramjf@mapy.cz,Male,21-07-2020,B-,Andaman and Nicobar Islands
