id,full_name,country,email,gender,dob,blood_group,state
1711CS01,Drucill Traves,Philippines,dtraves5k@wisc.edu,Female,04-09-2013,A+,Haryana
1711CS02,Libby Bratten,Brazil,lbratten5l@bluehost.com,Female,16-02-2005,O-,Jammu and Kashmir
1711CS03,Adelaide Gahagan,Indonesia,agahagan5m@reuters.com,Female,08-03-2015,A-,Arunachal Pradesh
1711CS04,Alica Rogier,Brazil,arogier5n@github.io,Female,01-07-2014,AB+,Mizoram
1711CS05,Ashlin Keane,Indonesia,akeane5o@timesonline.co.uk,Male,21-11-2008,A-,Bihar
1711CS06,Doralyn Joul,Philippines,djoul5p@dagondesign.com,Female,24-07-2000,B+,Uttar Pradesh
1711CS07,Jessika Brandsen,India,jbrandsen5q@prnewswire.com,Female,02-03-2012,B+,Tripura
1711CS08,Laureen Bartell,India,lbartell5r@shutterfly.com,Female,19-03-2002,AB-,Delhi
1711CS09,Margy Pearse,Serbia,mpearse5s@europa.eu,Female,03-01-2013,A+,Sikkim
1711CS10,Alicea Mannooch,India,amannooch5t@google.ru,Female,10-02-2020,A+,Telangana
1711CS11,Jon Dubock,Indonesia,jdubock5u@quantcast.com,Male,16-06-2000,O+,Punjab
1711CS12,Iggie Danneil,India,idanneil5v@ocn.ne.jp,Male,30-07-2008,AB-,Manipur
1711CS13,Gwenny Oiller,Ukraine,goiller5w@lulu.com,Female,28-07-2007,B+,Jharkhand
1711CS15,Krisha Brauninger,Croatia,kbrauninger5x@webs.com,Male,24-08-2011,AB-,Dadra and Nagar Haveli
1711CS16,Alecia Darnbrough,India,adarnbrough5y@devhub.com,Female,03-05-2006,B-,Himachal Pradesh
1711CS17,Aubrey Goymer,Azerbaijan,agoymer5z@India.com.cn,Male,02-04-2009,A-,Madhya Pradesh
