id,full_name,country,email,gender,dob,blood_group,state
1721CS02,Kennett Dabes,Greece,kdabes7k@google.fr,Male,29-03-2000,A+,Chhattisgarh
1721CS03,Sanson Stitch,Thailand,sstitch7l@who.int,Male,01-08-2005,AB-,West Bengal
1721CS04,Josephine Kubelka,Sweden,jkubelka7m@parallels.com,Female,30-08-2014,A-,Uttar Pradesh
1721CS05,Zenia Flello,Mexico,zflello7n@drupal.org,Female,20-09-2013,O-,Kerala
1721CS07,Dorothee Mougeot,Ukraine,dmougeot7o@gnu.org,Female,24-04-2009,A-,Mizoram
1721CS08,Arturo Hooks,India,ahooks7p@si.edu,Male,28-02-2007,B-,Bihar
1721CS09,Amble Sadlier,India,asadlier7q@joomla.org,Male,08-09-2004,O+,Uttarakhand
1721CS10,Ange Stoppe,France,astoppe7r@India.com.cn,Female,27-07-2006,O-,Tamil Nadu
1721CS11,Germayne Broughton,France,gbroughton7s@marketwatch.com,Male,26-04-2006,O-,Lakshadweep
1721CS12,Jewell Randlesome,Sierra Leone,jrandlesome7t@i2i.jp,Female,29-09-2007,O+,Andhra Pradesh
1721CS13,Dorice Reyner,Macedonia,dreyner7u@lycos.com,Female,08-05-2003,A+,Himachal Pradesh
