id,full_name,country,email,gender,dob,blood_group,state
1821EE01,Irita Eyree,India,ieyreejv@npr.org,Female,16-12-2005,O+,Tamil Nadu
1821EE02,Winn Print,India,wprintjw@oakley.com,Male,16-05-1999,A-,Daman and Diu
1821EE04,Cale Oliveto,Bangladesh,colivetojx@vk.com,Male,24-12-1999,B-,Jammu and Kashmir
1821EE06,Say Mapis,India,smapisjy@flavors.me,Male,07-02-2001,A-,Chhattisgarh
1821EE07,Deirdre Borges,India,dborgesjz@cbc.ca,Female,22-05-2017,AB-,Andaman and Nicobar Islands
1821EE08,Josy Bolte,Argentina,jboltek0@timesonline.co.uk,Female,27-01-2019,A-,Andaman and Nicobar Islands
1821EE09,Hymie Opie,Syria,hopiek1@apple.com,Male,06-02-2020,A-,Tripura
1821EE10,Nilson Keynes,Azerbaijan,nkeynesk2@ebay.co.uk,Male,23-01-2017,O-,Haryana
1821EE11,Rudd Scowcroft,Indonesia,rscowcroftk3@google.co.uk,Male,16-10-2017,B-,Puducherry
1821EE12,Liesa Singleton,India,lsingletonk4@wired.com,Female,21-06-2007,A+,Meghalaya
1821EE13,Bern Morando,Sweden,bmorandok5@theatlantic.com,Male,12-11-2013,B-,Himachal Pradesh
1821EE14,Sherman Sleigh,India,ssleighk6@cbsnews.com,Male,31-07-2006,A+,Maharashtra
1821EE17,Alexandros Stokey,Ukraine,astokeyk7@dropbox.com,Male,02-05-2001,O-,Uttar Pradesh
1821EE18,Obadias Empringham,Japan,oempringhamk8@twitter.com,Male,04-09-1999,A+,Bihar
