id,full_name,country,email,gender,dob,blood_group,state
1812MA01,Price Cutill,India,pcutillie@spotify.com,Male,30-10-2017,A-,Mizoram
1812MA02,Gayelord Daddow,India,gdaddowif@senate.gov,Male,13-10-2006,B+,Chandigarh
1812MA03,Brand Easman,India,beasmanig@free.fr,Male,25-02-2017,A-,Kerala
1812MA04,Shay Grizard,India,sgrizardih@networksolutions.com,Female,17-10-2003,A-,Jharkhand
1812MA05,Katina Mouland,Czech Republic,kmoulandii@columbia.edu,Female,22-08-2015,AB-,Punjab
1812MA06,Caryn Grist,Philippines,cgristij@irs.gov,Female,06-03-2010,O+,Manipur
1812MA07,Phillida Woodhams,Philippines,pwoodhamsik@latimes.com,Female,13-10-2001,O-,Punjab
1812MA08,Darsie Roggieri,Venezuela,droggieriil@addtoany.com,Female,16-10-2008,AB-,Uttar Pradesh
1812MA09,Phyllida Pylkynyton,Russia,ppylkynytonim@zdnet.com,Female,07-07-2010,A+,Jharkhand
1812MA11,Andriette Batts,Indonesia,abattsin@jugem.jp,Female,09-01-2011,O+,Tripura
1812MA13,Beverley Geoghegan,India,bgeogheganio@omniture.com,Female,19-06-2001,A+,Arunachal Pradesh
1812MA14,Mallorie Devinn,India,mdevinnip@blogtalkradio.com,Female,23-11-2012,A+,Lakshadweep
