id,full_name,country,email,gender,dob,blood_group,state
1811MC01,Richart Pitblado,Russia,rpitbladogp@apple.com,Male,14-05-2006,A-,Karnataka
1811MC02,Damian Droghan,Philippines,ddroghangq@linkedin.com,Male,11-09-2019,A-,Uttar Pradesh
1811MC03,Win Poolman,Indonesia,wpoolmangr@seesaa.net,Male,21-04-2017,O+,Maharashtra
1811MC04,Cherish Stanner,Brazil,cstannergs@cmu.edu,Female,10-06-2017,A+,Manipur
1811MC05,Chet Frost,Peru,cfrostgt@apache.org,Male,24-06-2005,O+,Delhi
1811MC06,Kylynn Cussons,Central African Republic,kcussonsgu@vkontakte.ru,Female,18-01-2011,B+,Mizoram
1811MC07,Berta Edgin,Sweden,bedgingv@fotki.com,Female,06-10-2012,A-,Tamil Nadu
1811MC08,Maybelle Collier,Indonesia,mcolliergw@instagram.com,Female,24-06-2013,B+,Chandigarh
1811MC10,Micki Greatbank,Philippines,mgreatbankgx@mapy.cz,Female,21-01-2000,A+,Assam
1811MC11,Buddy O'Crowley,Indonesia,bocrowleygy@ucoz.ru,Male,28-02-2018,B+,Andaman and Nicobar Islands
1811MC12,Jake Lucia,Bulgaria,jluciagz@indiatimes.com,Male,30-09-2010,A+,Andaman and Nicobar Islands
1811MC13,Nellie Curling,Bosnia and Herzegovina,ncurlingh0@npr.org,Female,02-07-2018,A-,Madhya Pradesh
