id,full_name,country,email,gender,dob,blood_group,state
1701CB01,Gery Pfeiffer,Argentina,gpfeiffer1@amazonaws.com,Male,09-10-2001,A+,Telangana
1701CB05,Marielle Matiewe,Philippines,mmatiewe3@e-recht24.de,Female,30-08-2004,A-,Arunachal Pradesh
1701CB06,Rube Varker,Russia,rvarker4@macromedia.com,Male,27-02-2000,AB-,Manipur
1701CB08,Ivette Brando,Finland,ibrando6@cafepress.com,Female,06-08-2002,O-,Manipur
1701CB15,Binny Forsyde,Argentina,bforsydeb@plala.or.jp,Female,28-12-2002,AB-,Arunachal Pradesh
1701CB19,Codee O'Doohaine,Colombia,codoohainef@gizmodo.com,Female,18-01-2002,B-,Manipur
1701CB25,Korrie Craddock,Indonesia,kcraddockk@ning.com,Female,19-02-2003,O-,Dadra and Nagar Haveli
1701CB27,Onfre Bortolozzi,India,obortolozzim@parallels.com,Male,02-08-2003,O+,Sikkim
1701CE04,Saunder Hulatt,Philippines,shulattq@lulu.com,Male,30-03-2004,O-,Nagaland
1701CE08,Prince Thurstance,Russia,pthurstanceu@printfriendly.com,Male,22-02-2001,AB-,Lakshadweep
1701CE12,Keary Muggleton,India,kmuggletony@cnbc.com,Male,25-09-2001,O+,Dadra and Nagar Haveli
1701CS06,Hewett Gianulli,Tanzania,hgianulli1f@mit.edu,Male,18-09-2004,A+,Telangana
1701CS20,Patty Verrillo,Poland,pverrillo1t@symantec.com,Male,29-07-2004,A-,Gujarat
1701CS25,Rene Fargher,Indonesia,rfargher1y@paginegialle.it,Female,09-06-2000,B-,Himachal Pradesh
1701CS27,Doug Hallsworth,India,dhallsworth20@samsung.com,Male,16-10-2004,B-,Karnataka
1701CS29,Shawnee Buchan,Russia,sbuchan22@netscape.com,Female,07-10-2002,A-,Madhya Pradesh
1701CS31,Aliza Benoiton,Indonesia,abenoiton24@hao123.com,Female,19-07-2002,AB+,Arunachal Pradesh
1701CS36,Rahel Leonard,India,rleonard29@skyrock.com,Female,06-07-2003,A+,Gujarat
1701CS44,Loretta Donaher,Brazil,ldonaher2h@latimes.com,Female,03-09-2004,AB-,Haryana
1701CS46,Alejoa Biagioni,Indonesia,abiagioni2j@themeforest.net,Male,23-05-2000,A+,Gujarat
1701CS54,Krishnah Cornbill,Russia,kcornbill2r@hostgator.com,Male,06-12-2000,A-,Manipur
1701CS58,Adora Dallin,Russia,adallin2v@deviantart.com,Female,19-01-2001,O+,Manipur
1701EE06,Bendick Forsyth,Portugal,bforsyth33@google.ca,Male,03-04-2002,O+,Odisha
1701EE16,Bibi Jaycocks,Indonesia,bjaycocks3c@digg.com,Female,24-06-2002,O-,Andhra Pradesh
1701EE19,Abba Ramsay,Spain,aramsay3e@answers.com,Male,09-07-2004,O+,Lakshadweep
1701EE20,Sidney Giacopini,Finland,sgiacopini3f@wikia.com,Male,15-06-2003,B+,Puducherry
1701EE29,Cyndy Voules,Poland,cvoules3l@clickbank.net,Female,10-07-2004,AB+,Tamil Nadu
