id,full_name,country,email,gender,dob,blood_group,state
1701CE23,Erhart Scading,Poland,escading16@princeton.edu,Male,09-08-2010,B+,Mizoram
1701EE38,Maris Warboy,Turkmenistan,mwarboy3u@utexas.edu,Female,22-09-2013,B+,Mizoram
1701EE58,Adolph Schouthede,Gambia,aschouthede4b@multiply.com,Male,26-04-2011,B-,Mizoram
1701EE59,Salvador Mumm,Yemen,smumm4c@fda.gov,Male,01-05-2002,AB+,Mizoram
1701ME25,Olly Bliven,India,obliven4w@123-reg.co.uk,Female,09-01-2016,B-,Mizoram
1701ME34,Ekaterina Glasspool,Poland,eglasspool54@indiatimes.com,Female,10-03-2001,A+,Mizoram
1711CS04,Alica Rogier,Brazil,arogier5n@github.io,Female,01-07-2014,AB+,Mizoram
1711MC04,Lorene Oldknowe,South Africa,loldknowe69@gizmodo.com,Female,19-04-2014,A-,Mizoram
1721CS07,Dorothee Mougeot,Ukraine,dmougeot7o@gnu.org,Female,24-04-2009,A-,Mizoram
1801CB28,Dore Stegers,United States,dstegers9m@bbc.co.uk,Male,19-11-1998,A+,Mizoram
1801CS19,Elisa Corzor,Ukraine,ecorzoray@bing.com,Female,25-03-1999,B+,Mizoram
1801CS54,Ripley Edkins,Indonesia,redkinsbx@cnn.com,Male,23-08-2008,B-,Mizoram
1801EE03,Cherey Epine,Philippines,cepinecf@gmpg.org,Female,05-10-2008,A+,Mizoram
1801EE13,Judye Titherington,Mauritius,jtitheringtoncn@answers.com,Female,08-08-2019,B+,Mizoram
1801ME35,Darice Burne,Mexico,dburnees@tinypic.com,Female,30-12-2014,O-,Mizoram
1811EE17,Willey Ferriere,Gambia,wferrieregk@stanford.edu,Male,26-12-2018,B+,Mizoram
1811MC06,Kylynn Cussons,Central African Republic,kcussonsgu@vkontakte.ru,Female,18-01-2011,B+,Mizoram
1811MS09,Pippy Margiotta,Japan,pmargiottahi@globo.com,Female,28-04-2005,AB-,Mizoram
1812MA01,Price Cutill,India,pcutillie@spotify.com,Male,30-10-2017,A-,Mizoram
1821CH03,Hyacinthe Tringham,United States,htringhamj5@youku.com,Female,11-05-2005,A-,Mizoram
1821CS07,Colly Sangar,Vietnam,csangarjk@booking.com,Female,28-04-2004,AB+,Mizoram
1901CS37,Melody Prestedge,India,mprestedgep2@bbb.org,Female,30-11-2009,B-,Mizoram
1901EE10,Phyllida Hyndman,Poland,phyndmanqf@t-online.de,Female,11-10-2010,B-,Mizoram
1901EE27,Elsy Gyrgorwicx,India,egyrgorwicxqw@artisteer.com,Female,16-04-2001,B-,Mizoram
1901EE52,Annabal Chalice,United States,achalicerk@dedecms.com,Female,10-12-2011,O-,Mizoram
